date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2019-05-02,6820.0,6820.0,6640.0,6700.0,21610,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-03,6760.0,6760.0,6640.0,6640.0,34510,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-06,6640.0,6790.0,6530.0,6530.0,20830,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-07,6560.0,6640.0,6470.0,6560.0,54280,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-08,6560.0,6990.0,6560.0,6990.0,8120,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-09,6640.0,6640.0,6590.0,6590.0,6260,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-10,6590.0,6610.0,6530.0,6560.0,19940,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-13,6730.0,6760.0,6500.0,6640.0,4030,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-14,6760.0,6760.0,6760.0,6760.0,40,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-15,6590.0,6730.0,6590.0,6730.0,950,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-16,6590.0,6700.0,6470.0,6640.0,19720,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-17,6640.0,6640.0,6560.0,6640.0,6160,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-20,6530.0,6640.0,6470.0,6640.0,22980,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
